,campaign_number,user_engagement,banner,placement,displays,clicks,ad_spend_by_company_x,post_click_conversions,post_click_sales_amount
119,camp 2,Low,728 x 90,jkl,1380,13,0.5111,0,0.0
120,camp 2,Low,728 x 90,mno,108130,666,26.178,5,523.5354
121,camp 2,Medium,728 x 90,abc,7,0,0.0,0,0.0
122,camp 2,Medium,728 x 90,def,59277,722,28.3712,8,930.7221
123,camp 2,Medium,728 x 90,ghi,55588,1515,59.5549,53,3942.6278
124,camp 2,Medium,728 x 90,jkl,13955,228,8.9633,10,1160.8372
125,camp 2,Medium,728 x 90,mno,390929,5323,209.2502,63,38386.9424
126,camp 2,Medium,800 x 250,mno,28,2,0.0786,0,0.0
127,camp 3,High,160 x 600,def,2366,4,0.2096,0,0.0
128,camp 3,High,160 x 600,ghi,23,0,0.0,0,0.0
129,camp 3,High,160 x 600,mno,22167,50,2.621,1,532.0745
130,camp 3,Low,160 x 600,abc,7,0,0.0,0,0.0
131,camp 3,Low,160 x 600,def,11834,21,1.1008,0,0.0
132,camp 3,Low,160 x 600,ghi,35,0,0.0,0,0.0
133,camp 3,Low,160 x 600,mno,41489,167,8.7543,0,0.0
134,camp 3,Medium,160 x 600,abc,5,0,0.0,0,0.0
135,camp 3,Medium,160 x 600,def,17057,51,2.6734,1,9.6979
136,camp 3,Medium,160 x 600,ghi,54,1,0.0524,0,0.0
137,camp 3,Medium,160 x 600,mno,82918,533,27.9399,13,1195.3097
138,camp 3,High,240 x 400,def,7325,13,0.6814,1,128.4186
139,camp 3,High,240 x 400,ghi,9037,67,3.5122,2,458.0165
140,camp 3,High,240 x 400,jkl,5524,33,1.729,4,145.7912
141,camp 3,High,240 x 400,mno,25346,62,3.2475,9,446.8068
142,camp 3,Low,240 x 400,def,9414,17,0.8911,0,0.0
143,camp 3,Low,240 x 400,ghi,3810,31,1.6242,0,0.0
144,camp 3,Low,240 x 400,jkl,459,8,0.4193,0,0.0
145,camp 3,Low,240 x 400,mno,24730,34,1.7823,0,0.0
146,camp 3,Medium,240 x 400,def,26007,86,4.5065,0,0.0
147,camp 3,Medium,240 x 400,ghi,17962,315,16.5126,3,339.5186
148,camp 3,Medium,240 x 400,jkl,4265,61,3.1976,0,0.0
149,camp 3,Medium,240 x 400,mno,59998,180,9.4358,2,201.9655
150,camp 3,High,300 x 250,def,4967,19,0.996,0,0.0
151,camp 3,High,300 x 250,ghi,1273,13,0.6814,0,0.0
152,camp 3,High,300 x 250,jkl,293,1,0.0524,0,0.0
153,camp 3,High,300 x 250,mno,30737,94,4.9267,7,768.5861
154,camp 3,Low,300 x 250,abc,1,0,0.0,0,0.0
155,camp 3,Low,300 x 250,def,12292,63,3.3016,0,0.0
156,camp 3,Low,300 x 250,ghi,831,9,0.4717,0,0.0
157,camp 3,Low,300 x 250,jkl,3,0,0.0,0,0.0
158,camp 3,Low,300 x 250,mno,66100,118,6.184,7,463.3167
159,camp 3,Medium,300 x 250,abc,4,1,0.0524,0,0.0
160,camp 3,Medium,300 x 250,def,21214,126,6.6036,1,3.9307
161,camp 3,Medium,300 x 250,ghi,2866,69,3.6153,0,0.0
162,camp 3,Medium,300 x 250,jkl,44,1,0.0524,0,0.0
163,camp 3,Medium,300 x 250,mno,116957,418,21.9095,3,216.6186
164,camp 3,High,468 x 60,def,111,0,0.0,0,0.0
165,camp 3,High,468 x 60,ghi,1,0,0.0,0,0.0
166,camp 3,High,468 x 60,mno,330,0,0.0,0,0.0
167,camp 3,Low,468 x 60,def,210,0,0.0,0,0.0
168,camp 3,Low,468 x 60,ghi,4,0,0.0,0,0.0
169,camp 3,Low,468 x 60,mno,363,0,0.0,0,0.0
170,camp 3,Medium,468 x 60,def,421,3,0.1572,0,0.0
171,camp 3,Medium,468 x 60,ghi,7,0,0.0,0,0.0
172,camp 3,Medium,468 x 60,mno,893,1,0.0524,0,0.0
173,camp 3,High,580 x 400,mno,7540,32,1.6769,0,0.0
174,camp 3,Low,580 x 400,mno,10045,73,3.8267,0,0.0
175,camp 3,Medium,580 x 400,mno,23157,248,12.9996,1,66.9636
176,camp 3,High,670 x 90,def,485,0,0.0,0,0.0
177,camp 3,High,670 x 90,ghi,115,1,0.0524,0,0.0
178,camp 3,High,670 x 90,jkl,28,0,0.0,0,0.0
179,camp 3,High,670 x 90,mno,1978,2,0.1048,0,0.0
180,camp 3,Low,670 x 90,def,368,3,0.1572,0,0.0
181,camp 3,Low,670 x 90,ghi,44,0,0.0,0,0.0
182,camp 3,Low,670 x 90,jkl,5,0,0.0,0,0.0
183,camp 3,Low,670 x 90,mno,2852,8,0.4193,0,0.0
184,camp 3,Medium,670 x 90,def,2313,8,0.4193,0,0.0
185,camp 3,Medium,670 x 90,ghi,146,1,0.0524,0,0.0
186,camp 3,Medium,670 x 90,jkl,78,2,0.1048,0,0.0
187,camp 3,Medium,670 x 90,mno,7479,5,0.2612,0,0.0
188,camp 3,High,728 x 90,def,7601,23,1.2056,1,185.3349
189,camp 3,High,728 x 90,ghi,1274,7,0.3669,0,0.0
190,camp 3,High,728 x 90,jkl,1960,8,0.4193,0,0.0
191,camp 3,High,728 x 90,mno,37014,105,5.5033,9,462.9524
192,camp 3,Low,728 x 90,abc,2,0,0.0,0,0.0
193,camp 3,Low,728 x 90,def,12477,63,3.2986,0,0.0
194,camp 3,Low,728 x 90,ghi,550,4,0.2096,0,0.0
195,camp 3,Low,728 x 90,jkl,150,0,0.0,0,0.0
196,camp 3,Low,728 x 90,mno,91468,316,16.5625,2,561.1487
197,camp 3,Medium,728 x 90,abc,2,0,0.0,0,0.0
198,camp 3,Medium,728 x 90,def,29216,146,7.6526,1,8.6485
199,camp 3,Medium,728 x 90,ghi,1737,17,0.8911,0,0.0
200,camp 3,Medium,728 x 90,jkl,1852,9,0.4717,0,0.0
201,camp 3,Medium,728 x 90,mno,174462,707,37.055,1,136.5586
202,camp 3,High,800 x 250,mno,2,0,0.0,0,0.0
203,camp 3,Low,800 x 250,mno,1,0,0.0,0,0.0
204,camp 1,High,160 x 600,abc,2,0,0.0,0,0.0
205,camp 1,High,160 x 600,def,17332,140,25.2734,26,1921.272
206,camp 1,High,160 x 600,ghi,14288,151,27.2622,59,3860.1421
207,camp 1,High,160 x 600,mno,154658,1509,272.4525,542,23994.6771
208,camp 1,Low,160 x 600,def,341,0,0.0,0,0.0
209,camp 1,Low,160 x 600,ghi,10,0,0.0,0,0.0
210,camp 1,Low,160 x 600,mno,2083,3,0.5416,2,51.5584
211,camp 1,Medium,160 x 600,def,2261,2,0.361,0,0.0
212,camp 1,Medium,160 x 600,ghi,502,3,0.5416,0,0.0
213,camp 1,Medium,160 x 600,mno,17427,159,28.7066,37,2403.4922
214,camp 1,High,240 x 400,def,48847,305,55.0681,43,3552.283
215,camp 1,High,240 x 400,ghi,304804,7767,1402.2994,2187,113046.5668
216,camp 1,High,240 x 400,jkl,54447,528,95.3277,175,8840.9398
217,camp 1,High,240 x 400,mno,187529,1633,294.836,672,31683.7408
218,camp 1,Low,240 x 400,def,422,1,0.1805,0,0.0
219,camp 1,Low,240 x 400,ghi,940,18,3.2498,3,126.8199
220,camp 1,Low,240 x 400,jkl,314,1,0.1805,0,0.0
221,camp 1,Low,240 x 400,mno,1580,3,0.5416,0,0.0
222,camp 1,Medium,240 x 400,def,5354,12,2.1665,1,13.3345
223,camp 1,Medium,240 x 400,ghi,16728,436,78.7176,40,1973.808
224,camp 1,Medium,240 x 400,jkl,3892,43,7.7634,8,424.1517
225,camp 1,Medium,240 x 400,mno,15017,118,21.3053,24,1376.4896
226,camp 1,High,300 x 250,abc,6,0,0.0,0,0.0
227,camp 1,High,300 x 250,def,41896,277,50.0109,102,4162.0391
228,camp 1,High,300 x 250,ghi,70071,1325,239.2221,361,14883.7289
229,camp 1,High,300 x 250,jkl,5132,26,4.6941,13,971.9768
230,camp 1,High,300 x 250,mno,235317,1844,332.9273,896,77490.5358
231,camp 1,Low,300 x 250,abc,1,0,0.0,0,0.0
